agent,backend,task,trial,success,seconds,peak_mem_mb,notes
zeroclaw,cloud,task1,1,pass,8.47,20.2,auto
zeroclaw,cloud,task1,2,pass,8.74,20.4,auto
zeroclaw,cloud,task1,3,pass,9.67,20.4,auto
zeroclaw,cloud,task1,4,pass,8.94,20.2,auto
zeroclaw,cloud,task1,5,pass,7.32,20.2,auto
zeroclaw,cloud,task2,1,pass,31.01,20.7,auto
zeroclaw,cloud,task2,2,pass,10.59,20.4,auto
zeroclaw,cloud,task2,3,pass,14.15,20.4,auto
zeroclaw,cloud,task2,4,pass,9.40,20.5,auto
zeroclaw,cloud,task2,5,pass,13.52,20.6,auto
zeroclaw,cloud,task3,1,pass,18.26,20.7,auto
zeroclaw,cloud,task3,2,pass,15.45,20.4,auto
zeroclaw,cloud,task3,3,pass,25.83,20.9,auto
zeroclaw,cloud,task3,4,pass,16.36,20.6,auto
zeroclaw,cloud,task3,5,pass,18.41,20.7,auto
zeroclaw,cloud,task4,1,pass,14.52,20.6,auto
zeroclaw,cloud,task4,2,pass,15.06,20.6,auto
zeroclaw,cloud,task4,3,pass,18.90,20.8,auto
zeroclaw,cloud,task4,4,pass,14.36,20.5,auto
zeroclaw,cloud,task4,5,pass,20.32,20.8,auto
zeroclaw,cloud,task5,1,pass,3.74,20.5,memory-recall
zeroclaw,cloud,task5,2,pass,4.80,20.4,memory-recall
zeroclaw,cloud,task5,3,pass,4.42,20.2,memory-recall
zeroclaw,cloud,task5,4,pass,4.41,20.4,memory-recall
zeroclaw,cloud,task5,5,pass,7.68,20.2,memory-recall
picoclaw,cloud,task1,1,pass,6.80,31.2,auto
picoclaw,cloud,task1,2,pass,8.76,31.2,auto
picoclaw,cloud,task1,3,pass,7.87,30.9,auto
picoclaw,cloud,task1,4,pass,8.69,31.2,auto
picoclaw,cloud,task1,5,pass,7.02,31.1,auto
picoclaw,cloud,task2,1,pass,13.94,31.2,auto
picoclaw,cloud,task2,2,pass,9.61,31.0,auto
picoclaw,cloud,task2,3,pass,10.79,30.4,auto
picoclaw,cloud,task2,4,pass,12.45,31.1,auto
picoclaw,cloud,task2,5,pass,10.00,31.0,auto
picoclaw,cloud,task3,1,pass,13.61,30.8,auto
picoclaw,cloud,task3,2,pass,23.30,31.2,auto
picoclaw,cloud,task3,3,pass,17.22,31.6,auto
picoclaw,cloud,task3,4,pass,9.70,31.1,auto
picoclaw,cloud,task3,5,pass,10.98,31.3,auto
picoclaw,cloud,task4,1,pass,8.82,31.4,auto
picoclaw,cloud,task4,2,pass,8.96,31.2,auto
picoclaw,cloud,task4,3,pass,8.75,31.2,auto
picoclaw,cloud,task4,4,pass,10.90,31.1,auto
picoclaw,cloud,task4,5,pass,7.65,31.3,auto
picoclaw,cloud,task5,1,pass,5.30,30.6,memory-recall
picoclaw,cloud,task5,2,pass,4.18,30.7,memory-recall
picoclaw,cloud,task5,3,pass,6.36,30.8,memory-recall
picoclaw,cloud,task5,4,pass,3.99,31.4,memory-recall
picoclaw,cloud,task5,5,pass,7.95,30.9,memory-recall
